"","Instrument","Company.Common.Name","Deal.Permid","Loan.Dates..Announcement.Date","Loan.Dates..Financial.Close.Date.of.Loan.Package","Maturity..Maturity.Date","Loan.Type","Use.of.Proceeds","Loan.Repayment..Type","Loans.Issuer.Borrower.Ultimate.Parent.Name.Full","Loan.Package.Amount","Number.of.all.Managers..inc..Int.l.Co.Managers","All.Managers..inc..Int.l.Co.Managers..Parent..Full.Name.","All.Managers..inc..Int.l.Co.Managers..Parent..Code.","All.Loans.Manager.Roles","Loan.Manager.Commitment.Amount"
"85",4296555324,"Cargill Inc",154083570713,"2013-10-24","2013-10-24","2014-10-23","364 Day Revolver","Pay Fees And Expenses",NA,"Cargill Inc",5e+09,1,"JP Morgan & Co Inc","JPM","Facility Agent",5e+09
"86",4296555324,"Cargill Inc",154083573020,"2013-02-07","2013-03-19","2014-03-19","Revolving Credit Facility","General Corporate Purpose","Bullet","Cargill Inc",1.25e+09,10,"Deutsche Bank","DEUTSCHE-BANK","Lead Manager",1.25e+08
"87",4296555324,"Cargill Inc",154083578008,"2013-02-07","2013-03-19","2014-03-19","Revolving Credit Facility","Refinance/Retiring Bank Debt","Bullet","Cargill Inc",1.25e+09,12,"Mizuho Financial Group","MIZUHO-FINAN","Lead Manager",104166666.666667
"88",4296555324,"Cargill Inc",154083585721,"2014-02-06","2014-03-18","2015-03-18","364 Day Revolver","General Corporate Purpose",NA,"Cargill Inc",1e+09,19,"Mizuho Financial Group","MIZUHO-FINAN","Lead Manager",52631578.9473684
"89",4296555324,"Cargill Inc",154083586234,"2014-02-06","2014-03-18","2015-03-18","364 Day Revolver","Refinance/Retiring Bank Debt",NA,"Cargill Inc",1e+09,3,"Credit Agricole Corporate & Investment Bank","CREDIT-AGRI-CIB","Lead Manager",333333333.333333
"90",4296555324,"Cargill Inc",154083587159,"2014-05-22","2014-05-22","2019-05-22","Revolving Credit Facility","General Corporate Purpose",NA,"CHS Inc",1.3e+09,6,"Mitsubishi UFJ Financial Group","MITSUBISHI-UFJ","Lead Manager",216666666.666667
"91",4296555324,"Cargill Inc",154083587160,"2014-05-22","2014-05-22","2019-05-22","Term Loan A","Refinancing",NA,"CHS Inc",1.3e+09,1,"NatWest","NATWEST-GRP","Lead Manager",1.3e+09
"92",4296555324,"Cargill Inc",154083587161,"2014-05-22","2014-05-22","2021-05-22","Term Loan A","General Corporate Purpose",NA,"CHS Inc",1.3e+09,10,"UBS","UBS-BANK","Lead Manager",1.3e+08
"93",4296555324,"Cargill Inc",154083587876,"2014-07-03","2014-07-03","2020-07-03","Term Loan B","Refinancing",NA,"Cargill Inc",229156856.073494,2,"UBS","UBS-BANK","Lead Manager",114578428.036747
"94",4296555324,"Cargill Inc",154083593242,"2015-03-17","2015-03-17","2016-03-17","Revolving Credit Facility","Refinancing","Bullet","Cargill Inc",1e+09,6,"UniCredit","UNICREDIT-SPA","Co-Lead Manager",166666666.666667
