investor_parent_clean,Company.Common.Name,Investor.Shares.Held,Holdings.Pct.Of.Traded.Shares.Held,value_held
Metzler Asset Management GmbH,Zoetis Inc,252457,0.0602,19158961.73
Meyer Handelman Company LLC,Zoetis Inc,6771,0.0016,513851.19
Michael Pintarelli Finanzdienstleistungen AG,Zoetis Inc,10000,0.0024,758900
Michigan Department of Treasury,Zoetis Inc,115764,0.0276,8785329.96
MidFirst Bank,Zoetis Inc,18166,0.0043,1378617.74
Middlefield Capital Corporation,Zoetis Inc,1400,3.00E-04,106246
"Middleton & Company, Inc.",Zoetis Inc,7752,0.0018,588299.28
Midwest Trust Company,Zoetis Inc,118072,0.0282,8960484.08
Migdal Insurance and Financial Holdings Ltd,Zoetis Inc,521,1.00E-04,39538.69
Migros Bank Asset Management,Zoetis Inc,9900,0.0024,751311
"Mill Capital Management, LLC",Zoetis Inc,173822,0.0415,13191351.58
Millennium Management LLC,Zoetis Inc,1649955,0.3936,125215085
Miller Financial Services LLC,Zoetis Inc,2755,7.00E-04,209076.95
"Milliman Financial Risk Management, LLC",Zoetis Inc,56,0,4249.84
"Millstone Evans Group, LLC",Zoetis Inc,145,0,11004.05
"Minneapolis Portfolio Management Group, L.L.C.",Zoetis Inc,197993,0.0472,15025688.77
Minot Deblois Advisors LLC,Zoetis Inc,4903,0.0012,372088.67
Mirabella Financial Services LLP,Zoetis Inc,4996,0.0012,379146.44
"Miracle Mile Advisors, LLC",Zoetis Inc,2894,7.00E-04,219625.66
Mirae Asset Global Investments (Hong Kong) Limited,Zoetis Inc,96,0,7285.44
Mirae Asset Global Investments (USA) LLC,Zoetis Inc,157452,0.0376,11949032.28
"Mirae Asset Global Investments Co., Ltd.",Zoetis Inc,89926,0.0215,6824484.14
Mirova,Zoetis Inc,76968,0.0184,5841101.52
"Mission Wealth Management, LP",Zoetis Inc,4127,0.001,313198.03
"Mitchell & Pahl Private Wealth, L.L.C",Zoetis Inc,3339,8.00E-04,253396.71
Mitchell Sinkler & Starr,Zoetis Inc,4495,0.0011,341125.55
Mitsubishi UFJ,Zoetis Inc,4501998,1.0738,341656628.2
"Mizuho Markets Americas, L.L.C",Zoetis Inc,522350,0.1246,39641141.5
"Mizuho Securities USA, LLC.",Zoetis Inc,25520,0.0061,1936712.8
Mn Services Vermogensbeheer B.V,Zoetis Inc,170669,0.0407,12952070.41
"Modera Wealth Management, LLC",Zoetis Inc,29952,0.0071,2273057.28
Mondrian Investment Partners Ltd.,Zoetis Inc,6926,0.0017,525614.14
"Moneta Group Investment Advisors, LLC",Zoetis Inc,5101,0.0012,387114.89
Monongahela Capital Management,Zoetis Inc,21025,0.005,1595587.25
"Montag & Caldwell, LLC",Zoetis Inc,74139,0.0177,5626408.71
Montrusco Bolton Investments Inc.,Zoetis Inc,1666335,0.3975,126458163.2
Moody National Bank,Zoetis Inc,7044,0.0017,534569.16
Moors & Cabot Inc.,Zoetis Inc,13190,0.0031,1000989.1
"Moran Wealth Management, LLC",Zoetis Inc,247304,0.059,18767900.56
Morgan Stanley,Zoetis Inc,8430763,2.0111,639810604.1
Morningstar Investment Management LLC,Zoetis Inc,25042,0.006,1900437.38
Morton Community Bank,Zoetis Inc,26879,0.0064,2039847.31
Motilal Oswal Asset Management Company Ltd.,Zoetis Inc,3102,7.00E-04,235410.78
Motiv8 Investments LLC,Zoetis Inc,4,0,303.56
"Mount Yale Investment Advisors, LLC",Zoetis Inc,10898,0.0026,827049.22
"Mraz, Amerine & Associates, Inc.",Zoetis Inc,2393,6.00E-04,181604.77
MultiConcept Fund Management S.A.,Zoetis Inc,88554,0.0211,6720363.06
"Mundoval Capital Management, Inc.",Zoetis Inc,1700,4.00E-04,129013
Murphy & Mullick Capital Management Corp,Zoetis Inc,14,0,1062.46
Mutual of America Capital Management LLC,Zoetis Inc,45028,0.0107,3417174.92
Myria Asset Management,Zoetis Inc,14269,0.0034,1082874.41
"Mystic Asset Management, Inc.",Zoetis Inc,9623,0.0023,730289.47
"N.E.W. Advisory Services, LLC.",Zoetis Inc,413,1.00E-04,31342.57
"NBC Securities, Inc.",Zoetis Inc,4279,0.001,324733.31
NBG Asset Management Mutual Funds Management Company S.A.,Zoetis Inc,380,1.00E-04,28838.2
NBT Bank N.A.,Zoetis Inc,43,0,3263.27
NEI Investments L.P.,Zoetis Inc,251525,0.06,19088232.25
"NEOS Investment Management, LLC",Zoetis Inc,62647,0.0149,4754280.83
NFS Netfonds Financial Service GmbH,Zoetis Inc,630,2.00E-04,47810.7
"NH-Amundi Asset Management Co., Ltd.",Zoetis Inc,65,0,4932.85
"NISA Investment Advisors, L.L.C.",Zoetis Inc,137575,0.0328,10440566.75
NLB Skladi upravljanje premozenja d.o.o.,Zoetis Inc,29899,0.0071,2269035.11
NN Mutual Fund Management Company,Zoetis Inc,2000,5.00E-04,151780
NORINCHUKIN BANK,Zoetis Inc,400698,0.0956,30408971.22
NS Partners Ltd.,Zoetis Inc,171955,0.041,13049664.95
Napatree Capital LLC_NLE,Zoetis Inc,3362,8.00E-04,255142.18
"Napier Financial, LLC",Zoetis Inc,1,0,75.89
National Bank Trust,Zoetis Inc,11617,0.0028,881614.13
National Bank of Canada,Zoetis Inc,313795,0.0749,23813902.55
National Mutual Funds Management Ltd.,Zoetis Inc,57263,0.0137,4345689.07
National Pension Service,Zoetis Inc,766090,0.1827,58138570.1
National Philanthropic Trust,Zoetis Inc,34580,0.0082,2624276.2
"Nations Financial Group, Inc.",Zoetis Inc,8384,0.002,636261.76
Natixis Alternative Investments (US) Inc.,Zoetis Inc,656,2.00E-04,49783.84
Natural Investments PBLLC,Zoetis Inc,3066,7.00E-04,232678.74
Navalign Wealth Partners,Zoetis Inc,5704,0.0014,432876.56
"Navigoe, LLC",Zoetis Inc,171,0,12977.19
"Nemes Rush Group, LLC.",Zoetis Inc,69,0,5236.41
Neo Investimentos,Zoetis Inc,17,0,1290.13
Neuberger Berman,Zoetis Inc,866525,0.2067,65760582.25
"Neville, Rodie & Shaw, Inc.",Zoetis Inc,49395,0.0118,3748586.55
"New Age Alpha Advisors, LLC",Zoetis Inc,26860,0.0064,2038405.4
New England Capital Financial Advisors LLC,Zoetis Inc,25,0,1897.25
"New England Research & Management, Inc.",Zoetis Inc,20391,0.0049,1547472.99
New Hampshire Trust Company,Zoetis Inc,10772,0.0026,817487.08
New Jersey Division of Investment,Zoetis Inc,154018,0.0367,11688426.02
New Mexico Educational Retirement Board,Zoetis Inc,20375,0.0049,1546258.75
New Potomac Partners LLC,Zoetis Inc,780,2.00E-04,59194.2
"New York Life Investment Management, LLC",Zoetis Inc,70628,0.0168,5359958.92
New York State Common Retirement Fund,Zoetis Inc,500208,0.1193,37960785.12
New York State Teachers' Retirement System,Zoetis Inc,362406,0.0864,27502991.34
"NewEdge Advisors, LLC",Zoetis Inc,25223,0.006,1914173.47
"NewEdge Wealth, LLC",Zoetis Inc,8165,0.0019,619641.85
"Newbridge Financial Services Group, Inc.",Zoetis Inc,99,0,7513.11
Newton Investment Management Ltd.,Zoetis Inc,970677,0.2315,73664677.53
"Newton Investment Management North America, LLC",Zoetis Inc,54424,0.013,4130237.36
"Nicholson Wealth Management Group, LLC",Zoetis Inc,15162,0.0036,1150644.18
"Ninety One North America, Inc.",Zoetis Inc,11671,0.0028,885712.19
Ninety One SA Pty Ltd.,Zoetis Inc,12374,0.003,939062.86
Ninety One UK Limited,Zoetis Inc,1112945,0.2655,84461396.05
Nissay Asset Management Corp.,Zoetis Inc,58210,0.0139,4417556.9
Noble Wealth Management PBC,Zoetis Inc,8,0,607.12
Nomura,Zoetis Inc,1827270,0.4359,138671520.3
Nordea Funds Oy,Zoetis Inc,5865111,1.399,445103273.8
Nordea Investment Funds S.A.,Zoetis Inc,968467,0.231,73496960.63
Norden (Gregory),Zoetis Inc,18167,0.0043,1378693.63
Norges Bank Investment Management (NBIM),Zoetis Inc,5837110,1.3923,442978277.9
"Norinchukin Value Investments Co., Ltd.",Zoetis Inc,33800,0.0081,2565082
"Norinchukin Zenkyoren Asset Management Co., Ltd.",Zoetis Inc,3167,8.00E-04,240343.63
North Dakota State Investment Board,Zoetis Inc,12927,0.0031,981030.03
North Dallas Bank & Trust Co,Zoetis Inc,3690,9.00E-04,280034.1
North Star Investment Management Corporation,Zoetis Inc,21985,0.0052,1668441.65
NorthCrest Asset Manangement LLC,Zoetis Inc,30933,0.0074,2347505.37
"NorthRock Partners, LLC",Zoetis Inc,3350,8.00E-04,254231.5
"Northbridge Financial Group, LLC",Zoetis Inc,2198,5.00E-04,166806.22
Northern Trust Asset Management Australia Pty Ltd,Zoetis Inc,181501,0.0433,13774110.89
Northern Trust Company of Hong Kong Limited,Zoetis Inc,53605,0.0128,4068083.45
Northern Trust Fund Managers (Ireland) Limited,Zoetis Inc,120989,0.0289,9181855.21
Northern Trust Global Investments,Zoetis Inc,452242,0.1079,34320645.38
Northern Trust Global Investments Limited,Zoetis Inc,743837,0.1774,56449789.93
"Northern Trust Investments, Inc.",Zoetis Inc,3167699,0.7556,240396677.1
Northstar Asset Management LLC,Zoetis Inc,38786,0.0093,2943469.54
Northwest Asset Management,Zoetis Inc,4960,0.0012,376414.4
Northwest Bank,Zoetis Inc,18417,0.0044,1397666.13
Northwest Bank & Trust Company,Zoetis Inc,1200,3.00E-04,91068
Northwest Investment Counselors LLC,Zoetis Inc,64,0,4856.96
"Northwestern Mutual Capital, LLC",Zoetis Inc,77883,0.0186,5910540.87
Northwestern Mutual Investment Management Company LLC,Zoetis Inc,13506,0.0032,1024970.34
"Nova Wealth Management, Inc",Zoetis Inc,88,0,6678.32
Novare Capital Management,Zoetis Inc,39808,0.0095,3021029.12
Numerai Gp LLC,Zoetis Inc,18041,0.0043,1369131.49
Numeric Investors LLC,Zoetis Inc,712316,0.1699,54057661.24
"Nuveen Asset Management, LLC",Zoetis Inc,743093,0.1773,56393327.77
Nuveen LLC,Zoetis Inc,2222624,0.5302,168674935.4
Nverses Capital LLC,Zoetis Inc,3500,8.00E-04,265615
"Nvest Wealth Strategies, Inc.",Zoetis Inc,6,0,455.34
Nykredit Asset Management,Zoetis Inc,7025,0.0017,533127.25
Nykredit Bank AS,Zoetis Inc,64730,0.0154,4912359.7
"O'Donnell Financial Services, LLC",Zoetis Inc,1728,4.00E-04,131137.92
"O'Shaughnessy Asset Management, LLC",Zoetis Inc,155844,0.0372,11827001.16
ODDO BHF Asset Management LUX,Zoetis Inc,8000,0.0019,607120
OFI Invest Asset Management,Zoetis Inc,183185,0.0437,13901909.65
OMERS Administration Corporation,Zoetis Inc,29535,0.007,2241411.15
"ONEFUND, LLC",Zoetis Inc,1210,3.00E-04,91826.9
OP Varainhoito Oy,Zoetis Inc,96307,0.023,7308738.23
ORG Partners LLC,Zoetis Inc,207,0,15709.23
"ORG Wealth Partners, LLC",Zoetis Inc,3437,8.00E-04,260833.93
OV Management LLC,Zoetis Inc,1886,4.00E-04,143128.54
Oakworth Capital Bank,Zoetis Inc,5392,0.0013,409198.88
"Obermeyer Wood Investment Counsel, LLLP",Zoetis Inc,89399,0.0213,6784490.11
Occudo Quantitative Strategies LP,Zoetis Inc,76747,0.0183,5824329.83
Oddo BHF Asset Management GmbH,Zoetis Inc,430,1.00E-04,32632.7
Oddo BHF Asset Management S.A.S,Zoetis Inc,67557,0.0161,5126900.73
"Ogorek Wealth Management, LLC",Zoetis Inc,61,0,4629.29
Ohio Public Employees Retirement System,Zoetis Inc,180744,0.0431,13716662.16
"Okabena Investment Services, Inc.",Zoetis Inc,11692,0.0028,887305.88
Olayan Investments Company Establishment,Zoetis Inc,2800000,0.6679,212492000
Old Mutual Investment Group (South Africa) (Pty) Limited,Zoetis Inc,32467,0.0077,2463920.63
Old National Wealth Management,Zoetis Inc,4727,0.0011,358732.03
Old Point Trust & Financial Services N.A.,Zoetis Inc,300,1.00E-04,22767
Old Second National Bank,Zoetis Inc,29206,0.007,2216443.34
Olympia Wealth Management Ltd,Zoetis Inc,62,0,4705.18
"One Capital Management, LLC",Zoetis Inc,1698,4.00E-04,128861.22
"One Wealth Advisors, LLC",Zoetis Inc,6378,0.0015,484026.42
OneAscent Investment Solutions LLC,Zoetis Inc,5977,0.0014,453594.53
OneDigital Investment Advisors LLC,Zoetis Inc,4585,0.0011,347955.65
OnePoint BFG Wealth Partners,Zoetis Inc,18748,0.0045,1422785.72
Opal Capital LLC,Zoetis Inc,25443,0.0061,1930869.27
"Opal Wealth Advisors, LLC",Zoetis Inc,659,2.00E-04,50011.51
"Operadora Valmex de Fondos de Inversión, S.A. de C.V.",Zoetis Inc,1251,3.00E-04,94938.39
Oppenheimer Asset Management Inc.,Zoetis Inc,308938,0.0737,23445304.82
Optimize Investment Partners,Zoetis Inc,3185,8.00E-04,241709.65
Orcadia Asset Management,Zoetis Inc,18721,0.0045,1420736.69
Oregon Public Employees Retirement System,Zoetis Inc,48293,0.0115,3664955.77
"Orion Portfolio Solutions, LLC",Zoetis Inc,42417,0.0101,3219026.13
"Orser Capital Management, LLC",Zoetis Inc,4624,0.0011,350915.36
"Osaic Holdings, Inc.",Zoetis Inc,127551,0.0304,9679845.39
Osher Van de Voorde Investment Management,Zoetis Inc,130555,0.0311,9907818.95
Oslo Pensjonsforsikring AS,Zoetis Inc,1568,4.00E-04,118995.52
Osmosis Investment Management UK Ltd,Zoetis Inc,1967,5.00E-04,149275.63
Ossiam,Zoetis Inc,13925,0.0033,1056768.25
Ostrum Asset Management,Zoetis Inc,349253,0.0833,26504810.17
"Outlook Wealth Advisors, LLC",Zoetis Inc,6841,0.0016,519163.49
Owl Creek Wealth Partners LLC,Zoetis Inc,272,1.00E-04,20642.08
Ownership Capital,Zoetis Inc,543579,0.1297,41252210.31
PBU - The Pension Fund of Early Childhood & Youth Educators,Zoetis Inc,83166,0.0198,6311467.74
PFA Asset Management,Zoetis Inc,11314,0.0027,858619.46
PFA Pension Forsikringsaktieselskab,Zoetis Inc,445350,0.1062,33797611.5
"PFS Partners, LLC",Zoetis Inc,9,0,683.01
PFW Advisors LLC,Zoetis Inc,15303,0.0037,1161344.67
PGB Trust & Investments,Zoetis Inc,18385,0.0044,1395237.65
PGGM Vermogensbeheer B.V.,Zoetis Inc,496579,0.1185,37685380.31
PGIM Fixed Income,Zoetis Inc,617,1.00E-04,46824.13
PGIM Quantitative Solutions LLC,Zoetis Inc,201454,0.0481,15288344.06
PIMCO (US),Zoetis Inc,11760,0.0028,892466.4
PKO Investment Management Joint-Stock Co,Zoetis Inc,7000,0.0017,531230
PNC Investments LLC,Zoetis Inc,148312,0.0354,11255397.68
PPSC Investment Service Corp,Zoetis Inc,87,0,6602.43
PSP Investments,Zoetis Inc,66087,0.0158,5015342.43
"Pacer Advisors, Inc.",Zoetis Inc,165570,0.0395,12565107.3
"Pacific Point Advisors, LLC.",Zoetis Inc,4210,0.001,319496.9
Pacifica Partners Inc.,Zoetis Inc,7,0,531.23
Pallas Capital Advisors LLC,Zoetis Inc,2256,5.00E-04,171207.84
PanAgora Asset Management Inc.,Zoetis Inc,15203,0.0036,1153755.67
"Parallel Advisors, LLC",Zoetis Inc,27846,0.0066,2113232.94
Parametric Portfolio Associates LLC,Zoetis Inc,2229287,0.5318,169180590.4
Parametric SAS,Zoetis Inc,66161,0.0158,5020958.29
Parent (Louise M),Zoetis Inc,28394,0.0068,2154820.66
Park Avenue Securities LLC,Zoetis Inc,8137,0.0019,617516.93
Park National Bank,Zoetis Inc,100435,0.024,7622012.15
Park Place Capital Corporation,Zoetis Inc,841,2.00E-04,63823.49
Parkside Financial Bank & Trust,Zoetis Inc,1074,3.00E-04,81505.86
"Parkway Advisors, L.P.",Zoetis Inc,3850,9.00E-04,292176.5
"Parkworth Wealth Management, Inc",Zoetis Inc,15,0,1138.35
"Parr Mcknight Wealth Management Group, LLC.",Zoetis Inc,18191,0.0043,1380514.99
Parthenon LLC,Zoetis Inc,9236,0.0022,700920.04
"Parvin Asset Management, LLC",Zoetis Inc,2905,7.00E-04,220460.45
Pathstone,Zoetis Inc,57358,0.0137,4352898.62
"Patten & Patten, Inc.",Zoetis Inc,14031,0.0033,1064812.59
Patton Wealth Advisors,Zoetis Inc,1941,5.00E-04,147302.49
"Pavion Blue Capital, LLC",Zoetis Inc,3871,9.00E-04,293770.19
"Peak Asset Management, LLC",Zoetis Inc,2132,5.00E-04,161797.48
Peak6 Capital Management LLC,Zoetis Inc,71011,0.0169,5389024.79
Peakshares LLC,Zoetis Inc,1449,3.00E-04,109964.61
Peck (Kristin C),Zoetis Inc,105902,0.0253,8036902.78
"Peddock Capital Advisors, LLC",Zoetis Inc,2097,5.00E-04,159141.33
Pegasus Partners Ltd.,Zoetis Inc,5528,0.0013,419519.92
Pekao Towarzystwo Funduszy Inwestycyjnych SA,Zoetis Inc,18640,0.0044,1414589.6
"Peloton Wealth Strategists, Inc.",Zoetis Inc,22910,0.0055,1738639.9
Pennsylvania Public School Employees Retirement System,Zoetis Inc,98332,0.0235,7462415.48
"Penobscot Investment Management Company, Inc.",Zoetis Inc,2340,6.00E-04,177582.6
Penserra Capital Management LLC,Zoetis Inc,36,0,2732.04
PensionDanmark A/S,Zoetis Inc,103709,0.0247,7870476.01
"Pensionmark Financial Group, LLC",Zoetis Inc,42736,0.0102,3243235.04
Peoples Financial Services Corp.,Zoetis Inc,221,1.00E-04,16771.69
"Perennial Advisors, LLC",Zoetis Inc,32256,0.0077,2447907.84
"Perigon Wealth Management, LLC",Zoetis Inc,24016,0.0057,1822574.24
Perpetua Investment Managers (Pty) Ltd,Zoetis Inc,6757,0.0016,512788.73
"Persimmon Capital Management, LP",Zoetis Inc,359,1.00E-04,27244.51
Personal CFO Solutions LLC,Zoetis Inc,9949,0.0024,755029.61
"Peterson Financial Group, Inc",Zoetis Inc,63,0,4781.07
"Peterson Wealth Services, Inc.",Zoetis Inc,16057,0.0038,1218565.73
"Pettee Investors, Inc.",Zoetis Inc,10960,0.0026,831754.4
"Pflug Koory, L.L.C.",Zoetis Inc,50,0,3794.5
"Phoenix Wealth Advisors, Inc",Zoetis Inc,11866,0.0028,900510.74
Pictet & Cie (Europe) S.A.,Zoetis Inc,358560,0.0855,27211118.4
Pictet Asset Management (Europe) SA,Zoetis Inc,1854,4.00E-04,140700.06
Pictet Asset Management Ltd.,Zoetis Inc,1924600,0.4591,146057894
Pictet Bank & Trust Ltd.,Zoetis Inc,22500,0.0054,1707525
Pictet North America Advisors SA,Zoetis Inc,6210,0.0015,471276.9
Pilgrim Partners Asia (Pte.) Ltd.,Zoetis Inc,7500,0.0018,569175
"Pin Oak Investment Advisors, Inc.",Zoetis Inc,566,1.00E-04,42953.74
"Pincus Capital Management, LP",Zoetis Inc,16266,0.0039,1234426.74
Pine Valley Investments LLC,Zoetis Inc,5956,0.0014,452000.84
Pineridge Advisors LLC,Zoetis Inc,20,0,1517.8
"Pines Wealth Management, LLC",Zoetis Inc,2661,6.00E-04,201943.29
Pingora Partners LLC,Zoetis Inc,155,0,11762.95
"Pinhook Capital, LLC",Zoetis Inc,3308,8.00E-04,251044.12
Pinnacle Associates Ltd.,Zoetis Inc,18117,0.0043,1374899.13
Pinnacle Bank,Zoetis Inc,3366,8.00E-04,255445.74
"Pinnacle Financial Partners, Inc.",Zoetis Inc,80546,0.0192,6112635.94
"Pinnacle Wealth Planning Services, Inc.",Zoetis Inc,1385,3.00E-04,105107.65
Piscataqua Savings Bank,Zoetis Inc,14,0,1062.46
"Pittenger & Anderson, Inc.",Zoetis Inc,77265,0.0184,5863640.85
Plan A Wealth LLC,Zoetis Inc,2527,6.00E-04,191774.03
"PlanVest Financial, Inc",Zoetis Inc,34,0,2580.26
Planning Capital Management Corp,Zoetis Inc,273,1.00E-04,20717.97
"Plante Moran Financial Advisors, LLC",Zoetis Inc,250,1.00E-04,18972.5
Platform Technology Partners LLC,Zoetis Inc,7127,0.0017,540868.03
"Platform Wealth Management, LLC",Zoetis Inc,2260,5.00E-04,171511.4
Platinum Asset Management,Zoetis Inc,42000,0.01,3187380
Plato Investment Management Limited,Zoetis Inc,15838,0.0038,1201945.82
"Platte River Wealth Advisors, LLC",Zoetis Inc,4305,0.001,326706.45
Plurimi Investment Managers LLP,Zoetis Inc,5873,0.0014,445701.97
"Polen Capital Management, LLC",Zoetis Inc,4223076,1.0073,320489237.6
Police and Firemen's Retirement System of New Jersey,Zoetis Inc,68157,0.0163,5172434.73
"Polymer Capital Management (US), LLC",Zoetis Inc,3757,9.00E-04,285118.73
Polzer (Robert J),Zoetis Inc,1957,5.00E-04,148516.73
"Portside Wealth Group, LLC.",Zoetis Inc,16522,0.0039,1253854.58
"Portus Wealth Advisors, LLC",Zoetis Inc,20,0,1517.8
"Potomac Fund Management, Inc.",Zoetis Inc,3176,8.00E-04,241026.64
Power Wealth Management LLC,Zoetis Inc,6030,0.0014,457616.7
"Precedent Wealth Partners, LLC",Zoetis Inc,12347,0.0029,937013.83
"Premier Path Wealth Partners, LLC",Zoetis Inc,5223,0.0012,396373.47
"Prescott Group Capital Management, LLC",Zoetis Inc,19500,0.0047,1479855
"Prestige Wealth Management Group, LLC",Zoetis Inc,272,1.00E-04,20642.08
Prime Capital Investment Advisors LLC,Zoetis Inc,2372,6.00E-04,180011.08
Princeton Global Asset Management LLC,Zoetis Inc,775,2.00E-04,58814.75
Principal Global Investors (Equity),Zoetis Inc,552331,0.1317,41916399.59
Principal Securities Inc,Zoetis Inc,16902,0.004,1282692.78
Principal Vermögensverwaltung AG,Zoetis Inc,3900,9.00E-04,295971
"Principia Wealth Advisory, LLC",Zoetis Inc,22,0,1669.58
Principle Wealth Partners LLC,Zoetis Inc,6706,0.0016,508918.34
Private Advisor Group LLC,Zoetis Inc,15150,0.0036,1149733.5
"Private Harbour Investment Management & Counsel, LLC",Zoetis Inc,11913,0.0028,904077.57
"Private Wealth Management Group, LLC",Zoetis Inc,46,0,3490.94
"Private Wealth Partners, LLC",Zoetis Inc,42358,0.0101,3214548.62
ProFund Advisors LLC,Zoetis Inc,6653,0.0016,504896.17
ProShare Advisors LLC,Zoetis Inc,99300,0.0237,7535877
Proathlete Wealth Management LLC,Zoetis Inc,12,0,910.68
"Probity Advisors, Inc.",Zoetis Inc,2794,7.00E-04,212036.66
"Procyon Advisors, LLC",Zoetis Inc,2695,6.00E-04,204523.55
"Promus Capital, LLC",Zoetis Inc,4385,0.001,332777.65
"Prospera Financial Services, Inc.",Zoetis Inc,19759,0.0047,1499510.51
"Prosperity Bancshares, Inc",Zoetis Inc,371,1.00E-04,28155.19
"Provenance Wealth Advisors, LLC",Zoetis Inc,22,0,1669.58
Prudential Financial Planning Services,Zoetis Inc,19629,0.0047,1489644.81
Public Employees' Retirement Association of CO,Zoetis Inc,56206,0.0134,4265473.34
Purpose Investments Inc.,Zoetis Inc,16,0,1214.24
"Putnam Investment Management, L.L.C.",Zoetis Inc,252,1.00E-04,19124.28
PvB Pernet von Ballmoos AG,Zoetis Inc,1000,2.00E-04,75890
"QRG Capital Management, Inc.",Zoetis Inc,74760,0.0178,5673536.4
Qblue Balanced A/S,Zoetis Inc,36204,0.0086,2747521.56
Qtron Investments LLC,Zoetis Inc,8571,0.002,650453.19
"Quad-Cities Investment Group, LLC",Zoetis Inc,2081,5.00E-04,157927.09
"QuadCap Wealth Management, LLC",Zoetis Inc,2664,6.00E-04,202170.96
Quadrant Family Wealth Advisors,Zoetis Inc,17457,0.0042,1324811.73
"Quadrant Private Wealth Management, LLC",Zoetis Inc,5240,0.0012,397663.6
Quadrature Capital LLP,Zoetis Inc,84526,0.0202,6414678.14
Quaestio Capital Management SGR S.p.A.,Zoetis Inc,20554,0.0049,1559843.06
Quaker Wealth Management LLC,Zoetis Inc,103,0,7816.67
"Quantbot Technologies, LP",Zoetis Inc,69996,0.0167,5311996.44
Quantex AG,Zoetis Inc,465000,0.1109,35288850
Quantinno Capital Management LP,Zoetis Inc,330839,0.0789,25107371.71
"Quantum Private Wealth, LLC",Zoetis Inc,2064,5.00E-04,156636.96
"Quent Capital, LLC",Zoetis Inc,436,1.00E-04,33088.04
"Quest 10 Wealth Builders, Inc.",Zoetis Inc,1823,4.00E-04,138347.47
Quilter Cheviot Europe Ltd,Zoetis Inc,2017,5.00E-04,153070.13
Quilter Cheviot Investment Management,Zoetis Inc,559440,0.1334,42455901.6
Quintet Private Bank,Zoetis Inc,7823,0.0019,593687.47
Quoniam Asset Management GmbH,Zoetis Inc,35190,0.0084,2670569.1
"R. M. Davis, Inc.",Zoetis Inc,2883,7.00E-04,218790.87
RAM Active Investments S.A.,Zoetis Inc,1307,3.00E-04,99188.23
RBC,Zoetis Inc,1721675,0.4106,130657915.8
"RBO & Co., L.L.C.",Zoetis Inc,122983,0.0293,9333179.87
"RHL Group, LLC",Zoetis Inc,1,0,75.89
RMC Investment Advisors,Zoetis Inc,913,2.00E-04,69287.57
RMG Wealth Management LLC,Zoetis Inc,394,1.00E-04,29900.66
"ROOT FINANCIAL PARTNERS, LLC",Zoetis Inc,258,1.00E-04,19579.62
